Filename, 1_Team1 Won Toss, 2_Team2 Won Toss, 3_Team1 Home, 4_Team2 Home, 5_Team1 Away, 6_Team2 Away,  7_Team1 > 300, 8_Team1 < 200, 9_Team1 b/w 200 and 300, 10_Team2(till 25th over) >= 200, 11_Team2(till 25th over) b/w 200 and 150,  12_Team2(till 25th over) b/w 150 and 100, 13_Team2(till 25th over) < 100, 14_Team2 Wickets(till 25th over) <=2, 15_Team2 Wickets(till 25th over) b/w 2 and 4, 16_Team2 Wickets(till 25th over) b/w 4 and 6,  17_Team2 Wickets(till 25th over) > 6, 18_Team1 - Team2(Rank Diff): 1, 19_Team1 - Team2(Rank Diff): 2,  20_Team1 - Team2(Rank Diff): 3, 21_Team1 - Team2(Rank Diff): >=4,  22_Team2 - Team1(Rank Diff): 1, 23_Team2 - Team1(Rank Diff): 2, 24_Team2 - Team1(Rank Diff): 3,  25_Team2 - Team1(Rank Diff): >=4, 26_Team1 Won, Team 2 Won
578617.yaml, 1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
298797.yaml, 1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
291365.yaml, 1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
422627.yaml, 1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
452149.yaml, 0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
953335.yaml, 1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
291218.yaml, 1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
931394.yaml, 1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
530431.yaml, 1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
249758.yaml, 1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
293072.yaml, 0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
523805.yaml, 1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
636534.yaml, 0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
300428.yaml, 0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
426389.yaml, 0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
903601.yaml, 1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
