No.,Official name (known as),Location,Country
182,Saurashtra Cricket Association Stadium,Rajkot~ Saurashtra,India ! India
183,JSCA International Cricket Stadium,Ranchi~ Jharkhand,India ! India
184,HPCA Stadium,Dharamsala~ Himachal Pradesh,India ! India
185,ICC Global Cricket Academy,Dubai~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
186,Malahide,Dublin~ Leinster,Ireland ! Ireland
187,Subrata Roy Sahara Stadium,Gahunje~ Pune~ Maharashtra,India ! India
188,Saxton Oval,Nelson~ Nelson (Region),New Zealand ! New Zealand
189,Hagley Oval,Christchurch~ Canterbury,New Zealand ! New Zealand
190,Bert Sutcliffe Oval,Lincoln~ Canterbury,New Zealand ! New Zealand
191,Bay Oval,Mount Maunganui~ Bay of Plenty,New Zealand ! New Zealand
192,Bayuemas Oval,Pandamaran~ Kuala Lumpur,Malaysia ! Malaysia
193,Tony Ireland Stadium,Townsville~ Queensland,Australia ! Australia
